kommunfil,bidrags_id,bidrag,url,status,effective_url,redirects,content_type,error,manuellt_verifierat_undantag,root_redirect
markaryd.yaml,markaryd-startbidrag,Startbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-evenemangsbidrag,Evenemangsbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-verksamhets-och-utvecklingsbidrag,Verksamhets- och utvecklingsbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-bidrag-till-studieforbund,Bidrag till studieförbund,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-bidrag-till-sociala-organisationer,Bidrag till sociala organisationer,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-integrationsbidrag,Integrationsbidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
markaryd.yaml,markaryd-ridskolebidrag,Ridskolebidrag,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,404,https://www.markaryd.se/sidor/uppleva-och-gora/foreningsinformation/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
norberg.yaml,norberg-verksamhetsstod,Verksamhetsstöd,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,404,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
norberg.yaml,norberg-aktivitetsstod,Aktivitetsstöd,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,404,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
norberg.yaml,norberg-drift-och-underhallsstod,Drift- och underhållsstöd,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,404,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
norberg.yaml,norberg-oppet-evenemangsstod,Öppet evenemangsstöd,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,404,https://norberg.se/kultur--fritid/forening/foreningsbidrag.html,0,text/html;charset=UTF-8,,ja,
overtornea.yaml,overtornea-enskild-vag-statsbidrag,Kommunalt bidrag till enskild väg med statsbidrag,https://overtornea.se/bygga-bo-miljo/trafik-och-vagar/,404,https://overtornea.se/bygga-bo-miljo/trafik-och-vagar/,0,text/html; charset=UTF-8,,ja,
overtornea.yaml,overtornea-enskild-vag-utan-statsbidrag,Kommunalt bidrag till enskild väg utan statsbidrag,https://overtornea.se/bygga-bo-miljo/trafik-och-vagar/,404,https://overtornea.se/bygga-bo-miljo/trafik-och-vagar/,0,text/html; charset=UTF-8,,ja,
